gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
PPP1R35,5.453513896440837,12396,0.1079433841537938,0.01979335372907046,0.014985014985014986,0.02619355475115398,True,False,False
PPP1R36,6.297178868345972,5536,0.06924962499293488,0.01099691837709152,0.000999000999000999,0.003910107233806656,True,True,False
PPP1R37,1.2660346141799288,19195,0.035875813598555864,0.028337140656654315,0.24275724275724275,0.2740330261038779,False,False,False
PPP1R3A,3.3630213071145927,9597,0.0004514276433039772,0.00013422276336339762,0.004995004995004995,0.011277666795015967,True,False,False
PPP1R3B,3.7953719468701164,13444,0.035051003165187104,0.009235185826878626,0.02097902097902098,0.0338123643687464,True,False,False
PPP1R3C,2.8561417069335757,11133,0.09403287119883025,0.03292303123795953,0.01098901098901099,0.02138775623011678,True,False,False
PPP1R3D,2.238195235425291,14610,0.06987990371421758,0.03122153073433158,0.030969030969030968,0.045929976936137096,True,False,False
PPP1R3E,5.779066669320609,5535,0.3297382743741237,0.05705734774335476,0.000999000999000999,0.003910813666911228,True,True,False
PPP1R3F,2.4498151354557325,14156,0.05880438512203332,0.02400359103542837,0.025974025974025976,0.039757360469426024,True,False,False
PPP1R42,1.5141929854683367,18466,0.04163398592210782,0.02749581538135356,0.17182817182817184,0.20162313588069034,False,False,False
PPP1R7,1.2443668224949207,19452,0.019234004265699788,0.015456850403217875,0.2777222777222777,0.3093608016495123,False,False,False
