sample_id,donor,truth,pred_top1,pred_top3,hit1,hit3,panel_genes
qbt-L-CL-8-24_BRRL200007489-1A,qbt,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
qbt-L-TPO-8-24_BRRL200007490-1A,qbt,Temporal,Operculum/Insula,Operculum/Insula | Temporal | Lateral Prefrontal Cortex,0,1,200
qbt-L-PGa-8-24_BRRL200007491-1A,qbt,Temporal,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Operculum/Insula,0,1,200
qbt-L-IPa-8-24_BRRL200007492-1A,qbt,Temporal,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
qbt-L-VIP-8-27_BRRL200007560-1A,qbt,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region",0,1,200
qbt-L-LIpv-8-27_BRRL200007561-1A,qbt,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region",0,1,200
qbt-L-LIpd-8-27_BRRL200007562-1A,qbt,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
qbt-L-7a-8-27_BRRL200007563-1A,qbt,"Parietal, and Parieto-occipital region",Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,0,200
qbt-L-TPt-8-27_BRRL200007926-1A,qbt,Temporal,Temporal,"Temporal | Operculum/Insula | Parietal, and Parieto-occipital region",1,1,200
qbt-L-MST-8-27_BRRL200007927-1A,qbt,Occipital/Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",0,0,200
